"epiweek_recolec","count_undetermined","count_unprocessed","count_all_resul_inf_a_all","count_all_resul_inf_b_all","count_all_resul_inf_all","count_all_resul_rsv_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_all_resul_sars_covid_all","count_all_resul_virus_all","count_neg_resul_inf_a_all","count_neg_resul_inf_b_all","count_neg_resul_inf_all","count_neg_resul_rsv_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_neg_resul_sars_covid_all","count_neg_resul_virus_all","count_pos_resul_inf_a_all","count_pos_resul_inf_b_all","count_pos_resul_inf_all","count_pos_resul_rsv_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","count_pos_resul_sars_covid_all","count_pos_resul_virus_all","pct_pos_resul_inf_a_all","pct_pos_resul_inf_b_all","pct_pos_resul_inf_all","pct_pos_resul_rsv_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all","pct_pos_resul_sars_covid_all","pct_pos_resul_virus_all"
2020-06-29,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2020-07-20,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2020-07-27,0,0,2,2,0,2,1,1,2,2,2,2,0,2,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,100,100,100,100
2020-08-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2020-08-24,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,100,100,100
2020-09-14,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,50,50,100
2020-09-21,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,100,100,100
2020-10-05,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2020-10-12,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2020-10-19,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
